Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0057,"avocado, peeled, fresh,236,1.7,2,14.0,0.04,0.03,1.60,29",236,1.7,2,14.0,0.04,0.03,1.60,29,0.00,8,0.40,0.57
MZF0058,"banana, peeled, fresh,97,1.3,8,12.0,0.03,0.02,0.70,19",97,1.3,8,12.0,0.03,0.02,0.70,19,0.00,2,0.60,0.23
MZF0059,"cashew fruit, fresh,45,1.0,63,252.0,0.00,0.00,0.22,0,0.00",45,1.0,63,252.0,0.00,0.00,0.22,0,0.00,1,0.20,0.10
MZF0072,"chindu, Phoenix reclinata,219,1.9,125,,0.00,,0.00,,0.00",1.9,125,,0.00,,0.00,,0.00,,,,
MZF0060,"grapefruit, peeled, fresh,35,0.7,0,34.0,0.07,0.02,0.30,13",35,0.7,0,34.0,0.07,0.02,0.30,13,0.00,10,0.10,0.04
MZF0061,"guava, peeled, fresh,55,0.8,5,347.0,0.05,0.02,1.20,19",55,0.8,5,347.0,0.05,0.02,1.20,19,0.00,8,0.40,0.15
MZF0062,"lemon, peeled, fresh,41,0.7,1,57.0,0.04,0.01,0.20,17",41,0.7,1,57.0,0.04,0.01,0.20,17,0.00,29,0.30,0.09
MZF0063,"litchi, peeled, fresh,78,0.8,0,25.0,0.02,0.01,0.70,133",78,0.8,0,25.0,0.02,0.01,0.70,133,0.00,2,0.40,0.21
MZF0065,"mamaroma, fresh,136,1.7,567,,0.00,,0.00,,0.00",1.7,567,,0.00,,0.00,,0.00,0,,,
MZF0066,"mango, ripe, peeled, fresh,70,0.6,136,31.0,0.06,0.03,0.70",70,0.6,136,31.0,0.06,0.03,0.70,40,0.00,9,0.20,0.07
MZF0067,"mango, unripe, peeled, boiled,58,0.3,8,94.3,0.00,0.00,0.16",58,0.3,8,94.3,0.00,0.00,0.16,12,0.00,14,0.12,0.09
MZF0268,"mango, unripe, peeled, fresh,57,0.3,11,132.1,0.00,0.00,0.17",57,0.3,11,132.1,0.00,0.00,0.17,24,0.00,14,0.12,0.09
MZF0068,"melon, orange-flesh, peeled, fresh,39,0.8,58,39.0,0.04,0.01,0.70",39,0.8,58,39.0,0.04,0.01,0.70,22,0.00,11,0.40,0.10
MZF0069,"namuraha, fresh,93,1.5,33,,0.00,,0.00,,0.00",1.5,33,,0.00,,0.00,,0.00,0,,,
MZF0070,"nanverevetho, fresh,99,1.4,408,,0.00,,0.00,,0.00",1.4,408,,0.00,,0.00,,0.00,,,,
MZF0071,"orange, peeled, fresh,47,0.8,2,53.0,0.08,0.02,0.30,30",47,0.8,2,53.0,0.08,0.02,0.30,30,0.00,30,0.30,0.22
MZF0073,"papaya, peeled, fresh,41,0.4,15,87.0,0.03,0.01,0.30,14",41,0.4,15,87.0,0.03,0.01,0.30,14,0.00,24,0.10,0.04
MZF0288,"papaya, unripe, peeled, fresh,41,0.4,0,87.0,0.03,0.01,0.30",41,0.4,0,87.0,0.03,0.01,0.30,14,0.00,24,0.10,0.04
MZF0074,"passion fruit, purple, peeled, fresh,88,2.2,64,30.0,0.00,0.13,1.50",88,2.2,64,30.0,0.00,0.13,1.50,14,0.00,12,1.60,0.10
MZF0075,"pear, with skin, fresh,61,0.3,2,4.0,0.02,0.01,0.30,1",61,0.3,2,4.0,0.02,0.01,0.30,1,0.00,5,0.40,0.14
MZF0076,"pineapple, peeled, fresh,55,0.4,3,43.0,0.08,0.02,0.30,16",55,0.4,3,43.0,0.08,0.02,0.30,16,0.00,4,0.30,0.03
