Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0025,"sorghum, whole grain, raw,360,11.0,2,0.0,0.36,0.17,3.50,27",360,11.0,2,0.0,0.36,0.17,3.50,27,0.00,27,8.70,1.60
MZF0027,"wheat flour, white,358,10.3,0,0.0,0.33,0.11,0.89,26,0.00",358,10.3,0,0.0,0.33,0.11,0.89,26,0.00,13,4.50,1.10
MZF0155,cassava flour,349,1.8,0,4.0,0.07,0.04,1.20,52,0.00,117,4.60,0.70
MZF0156,cassava porridge,120,0.4,0,2.5,0.04,0.11,0.06,5,0.00,22,2.80,0.20
MZF0290,"cassava, dried root,324,1.1,0,6.8,0.11,0.28,0.16,14,0.00",324,1.1,0,6.8,0.11,0.28,0.16,14,0.00,59,7.56,0.54
MZF0158,"cassava, raw, without skin,154,0.8,4,24.5,0.03,0.63,0.09,27",154,0.8,4,24.5,0.03,0.63,0.09,27,0.00,19,0.50,1.07
MZF0161,"minani, Plectranthus esculentus, boiled with skin, peeled,103,2.4,0,1.1,0.04,,0.00",103,2.4,0,1.1,0.04,,0.00,,,15,0.48,0.33
MZF0162,"minani, Plectranthus esculentus, without skin, raw,96,2.4,0,1.4,0.04,,0.00",96,2.4,0,1.4,0.04,,0.00,,,15,0.47,0.33
MZF0163,"mobo flour, dried,245,6.7,0,,0.00,,0.00,,",245,6.7,0,,0.00,,0.00,,,236,191.00,1.20
MZF0164,"molè, with salt, boiled with skin, peeled,106,2.1,0,2.5,0.03,0.03,0.00",106,2.1,0,2.5,0.03,0.03,0.00,,,13,0.76,0.39
MZF0168,"potato, without skin, raw,80,1.6,0,29.0,0.06,0.16,1.40,3",80,1.6,0,29.0,0.06,0.16,1.40,3,0.00,6,0.70,0.29
MZF0171,"sweet potato, orange-fleshed, raw, without skin,78,1.9,565,31.0,0.03,0.05,1.00",78,1.9,565,31.0,0.03,0.05,1.00,11,0.00,27,0.50,0.50
MZF0173,"sweet potato, white-fleshed, raw, without skin,69,1.2,2,19.0,0.04,0.02,0.50",69,1.2,2,19.0,0.04,0.02,0.50,11,0.00,18,0.50,0.40
MZF0174,"taro, Colocasia esculenta, without skin, raw,119,1.1,4,15.0,0.02,0.03,0.95",119,1.1,4,15.0,0.02,0.03,0.95,,,32,0.48,3.60
MZF0277,"tuber, raw, average,105,1.5,5,17.5,0.07,0.03,0.61,20",105,1.5,5,17.5,0.07,0.03,0.61,20,0.00,18,0.51,1.16
MZF0175,"yam, Dioscorea alata, without skin, raw,85,2.2,9,27.6,0.05,0.03,0.38",85,2.2,9,27.6,0.05,0.03,0.38,23,0.00,8,0.60,0.39
MZF0186,"amaranth leaves, nhewé leaves, Amaranthus sp., boiled,43,4.0,392,0.0,0.00,0.14,0.14",43,4.0,392,0.0,0.00,0.14,0.14,25,0.00,407,3.80,0.66
MZF0282,"amaranth leaves, nhewé leaves, Amaranthus sp., raw,25,2.5,163,43.3,0.03,0.16,0.66",25,2.5,163,43.3,0.03,0.16,0.66,85,0.00,215,2.32,0.90
MZF0152,"beetroot, without skin, raw,41,1.6,2,4.9,0.03,0.04,0.33,109",41,1.6,2,4.9,0.03,0.04,0.33,109,0.00,16,0.80,0.35
MZF0188,"cabbage, raw,27,1.5,3,30.0,0.04,0.02,0.30,16,0.00",27,1.5,3,30.0,0.04,0.02,0.30,16,0.00,31,0.30,0.15
MZF0154,"carrot, without skin, raw,39,0.9,835,5.9,0.07,0.06,0.98,19",39,0.9,835,5.9,0.07,0.06,0.98,19,0.00,33,0.30,0.24
MZF0189,"cassava leaf sauce, mucuane,50,3.9,400,77.4,0.06,0.15,,38,",50,3.9,400,77.4,0.06,0.15,,38,,104,2.90,0.91
MZF0190,"cassava leaves, raw,103,7.6,795,349.0,0.25,0.60,2.40,95,0.00",103,7.6,795,349.0,0.25,0.60,2.40,95,0.00,353,5.98,1.20
MZF0191,"cowpea leaves, nhemba bean leaves, Vigna unguiculata, boiled,34,3.4,242,2.6,0.00,0.00,",34,3.4,242,2.6,0.00,0.00,,18,,97,2.30,0.35
MZF0192,"cowpea leaves, nhemba bean leaves, Vigna unguiculata, raw,42,4.5,212,62.5,0.49,0.24,1.60",42,4.5,212,62.5,0.49,0.24,1.60,132,0.00,232,5.78,0.46
MZF0193,"cucumber, raw,13,0.7,5,11.0,0.02,0.01,0.40,9,0.00",13,0.7,5,11.0,0.02,0.01,0.40,9,0.00,16,0.30,0.17
MZF0198,"eggplant, raw,36,1.0,6,9.0,0.05,0.05,0.50,29,0.00",36,1.0,6,9.0,0.05,0.05,0.50,29,0.00,14,1.30,0.16
MZF0199,"garlic, raw,160,6.4,0,31.2,0.20,0.11,0.70,3,0.00",160,6.4,0,31.2,0.20,0.11,0.70,3,0.00,181,1.70,1.16
MZF0273,"green leaves, raw, average,47,3.7,267,63.0,0.21,0.21,1.16,75",47,3.7,267,63.0,0.21,0.21,1.16,75,0.00,166,4.74,0.49
MZF0221,"kale, raw,56,3.3,445,120.0,0.11,0.13,1.00,29,0.00",56,3.3,445,120.0,0.11,0.13,1.00,29,0.00,135,1.70,0.44
MZF0201,"lettuce, raw,15,1.4,8,18.0,0.07,0.08,0.38,38,0.00",15,1.4,8,18.0,0.07,0.08,0.38,38,0.00,36,0.86,0.18
MZF0209,"okra, pod, raw,31,2.0,33,21.1,0.20,0.06,1.00,88",31,2.0,33,21.1,0.20,0.06,1.00,88,0.00,81,0.80,0.60
MZF0210,"onion, raw,42,0.9,0,6.0,0.03,0.01,0.10,2,0.00",42,0.9,0,6.0,0.03,0.01,0.10,2,0.00,30,0.50,0.31
MZF0211,"pumpkin leaves, boiled,23,2.9,269,0.0,0.00,0.06,,26,",23,2.9,269,0.0,0.00,0.06,,26,,67,1.20,0.16
MZF0212,"pumpkin leaves, raw,47,3.8,239,44.0,0.09,0.13,0.92,60,0.00",47,3.8,239,44.0,0.09,0.13,0.92,60,0.00,143,6.91,0.70
MZF0213,"pumpkin, raw,27,0.8,78,8.0,0.02,0.02,0.60,4,0.00",27,0.8,78,8.0,0.02,0.02,0.60,4,0.00,18,0.40,0.24
MZF0169,"radish, raw,14,0.7,1,14.8,0.01,0.04,0.25,25,0.00",14,0.7,1,14.8,0.01,0.04,0.25,25,0.00,25,0.34,0.28
MZF0214,"sweet pepper, green, raw,17,0.9,18,77.0,0.04,0.02,0.60,5",17,0.9,18,77.0,0.04,0.02,0.60,5,0.00,7,0.90,0.24
MZF0215,"sweet potato leaves, boiled,30,2.4,233,2.8,0.00,0.00,,17,",30,2.4,233,2.8,0.00,0.00,,17,,98,2.40,0.19
MZF0216,"sweet potato leaves, raw,41,3.2,172,25.5,0.16,0.35,1.13,80,0.00",41,3.2,172,25.5,0.16,0.35,1.13,80,0.00,155,4.56,0.37
MZF0217,"therere leaves, Talinum caffrum, boiled,24,1.9,133,0.0,0.00,0.04,0.00,",24,1.9,133,0.0,0.00,0.04,0.00,,,102,0.86,0.23
MZF0218,"tomato, raw,19,0.9,19,20.0,0.04,0.01,0.90,18,0.00",19,0.9,19,20.0,0.04,0.01,0.90,18,0.00,8,0.20,0.16
MZF0274,"bean, dried, average,310,23.7,3,4.7,0.58,0.23,2.16,510",310,23.7,3,4.7,0.58,0.23,2.16,510,0.00,138,7.47,2.74
MZF0080,"cashew nut, dried, roasted,598,15.3,0,0.0,0.20,0.20,1.40,69",598,15.3,0,0.0,0.20,0.20,1.40,69,0.00,45,6.00,5.60
MZF0081,"chickpea, Cicer arietinum, dried,367,20.0,3,8.0,0.48,0.16,1.80,180",367,20.0,3,8.0,0.48,0.16,1.80,180,0.00,250,11.00,3.43
